URL,Size,OutLinks,ContentType
http://abcnews.go.com/Press_Release/,119818,137,text/html
http://abcnews.go.com/International/wireStory/china-names-officials-key-economic-posts-45707144,80159,69,text/html
http://abcnews.go.com/US/con-quak-ulations-kindergartners-host-wedding-beloved-ducks/story?id=45704329,76511,68,text/html
http://abcnews.go.com/Entertainment/making-great-oscars-acceptance-speech/story?id=37187171,69194,62,text/html
http://abcnews.go.com/Technology,181941,110,text/html
http://abcnews.go.com/whatwouldyoudo,203668,173,text/html
http://abcnews.go.com/GMA/video/president-trump-slams-media-amid-news-fbi-white-45733068,72516,85,text/html
http://abcnews.go.com/Lifestyle/year-boy-loses-race-wanted-hug-father-crossing/story?id=45711547,78080,73,text/html
http://abcnews.go.com/US,211910,126,text/html
http://abcnews.go.com/Entertainment/wireStory/jack-white-launches-vinyl-record-plant-detroit-45730381,70634,61,text/html
http://abcnews.go.com/us,212077,127,text/html
http://abcnews.go.com/Politics/gop-congressman-special-prosecutor-needed-investigate-russia-election/story?id=45733670,70787,66,text/html
http://abcnews.go.com/US/calling-probe-murder-indiana-teens/story?id=45610075,77373,68,text/html
http://abcnews.go.com/Entertainment/oscars-2017-inside-governors-ball/story?id=45728399,70092,65,text/html
http://abcnews.go.com/Entertainment/beyonce-pulls-coachella-advice-doctors/story?id=45693711,69497,63,text/html
http://abcnews.go.com/author/,117091,447,text/html
http://abcnews.go.com/Nightline,154193,84,text/html
http://abcnews.go.com/entertainment,231120,160,text/html
http://abcnews.go.com/US/trump-administration-withdraws-legal-memo-found-ample-legal/story?id=45696135,82446,73,text/html
http://abcnews.go.com/Technology/wireStory/obama-science-adviser-rejoins-climate-change-tank-45713544,63883,60,text/html
http://abcnews.go.com/International/wireStory/kansas-community-heal-shooting-bar-reopen-45730146,80181,68,text/html
http://abcnews.go.com/Entertainment/time-oscar-winner-breaks-race-best-original-song/story?id=45701127,69634,63,text/html
http://abcnews.go.com/health,125691,79,text/html
http://abcnews.go.com/Sports,73391,117,text/html
http://abcnews.go.com/Lifestyle/Pets/photos/baby-animals-3351912,603045,85,text/html
http://abcnews.go.com/International/wireStory/official-mexico-rejected-us-plan-3rd-country-deportees-45712867,78741,69,text/html
http://abcnews.go.com/US/wireStory/tip-leads-arrest-georgia-teachers-2005-disappearance-45706599,79084,68,text/html
http://abcnews.go.com/Politics/justice-department-reverses-obama-guidance-reducing-private-prisons/story?id=45696324,70792,67,text/html
http://abcnews.go.com/Entertainment/throw-perfect-oscars-party-weekend/story?id=45718852,68786,63,text/html
http://abcnews.go.com/Politics/trump-list-shows-746-travelers-detained-processed-travel/story?id=45646957,72924,68,text/html
http://abcnews.go.com/Entertainment/curtain-art-successful-oscar-campaign/story?id=45666466,85665,76,text/html
http://abcnews.go.com/Entertainment/photos/hosts-oscars-18400178,88571,81,text/html
http://abcnews.go.com/Lifestyle/couple-pregnancy-secret-months-surprises-grandma/story?id=45684015,81570,73,text/html
http://abcnews.go.com/Politics/labor-secretary-tom-perez-elected-dnc-chair/story?id=45728911,72814,66,text/html
http://abcnews.go.com/US/wireStory/north-dakota-officials-plead-protesters-leave-45678680,80560,70,text/html
http://abcnews.go.com/International/wireStory/explosions-target-security-building-quarters-syrian-city-45730659,80538,68,text/html
http://abcnews.go.com/weird,73639,112,text/html
http://abcnews.go.com/Health/wireStory/pope-quietly-trims-sanctions-sex-abusers-seeking-mercy-45732198,81880,68,text/html
http://abcnews.go.com/travel,83720,93,text/html
http://abcnews.go.com/WN,149034,77,text/html
http://abcnews.go.com/Politics/secretary-state-rex-tillerson-stays-silent-state-dept/story?id=45711540,72722,59,text/html
http://abcnews.go.com/International/wireStory/shooting-indians-us-bar-sends-shock-waves-india-45706973,77931,69,text/html
http://abcnews.go.com/wn,149034,78,text/html
http://abcnews.go.com/Site/page?cat=ABCNews.com%20comments&id=3271346,55659,52,text/html
http://abcnews.go.com/Site/page?id=3068843,46715,67,text/html
http://abcnews.go.com/Entertainment/wireStory/jodie-foster-michael-fox-call-unity-uta-rally-45726875,71687,61,text/html
http://abcnews.go.com/Entertainment/throw-ultimate-oscar-party-full-diy-glitz-glam/story?id=45669285,71298,62,text/html
http://abcnews.go.com/Entertainment/photos/2017-academy-award-nominated-actors-45219322,89418,84,text/html
http://abcnews.go.com/Technology/wireStory/arctic-doomsday-seed-vault-receives-50000-deposits-45686325,66161,61,text/html
http://abcnews.go.com/Politics/education-secretary-betsy-devos-slams-obamas-transgender-bathroom/story?id=45690307,70075,61,text/html
http://abcnews.go.com/live/video/special-live-9,50351,45,text/html
http://abcnews.go.com/live/video/special-live-8,50361,45,text/html
http://abcnews.go.com/Politics/president-trump-address-conservatives-cpac/story?id=45685520,72299,69,text/html
